TempsKey,ScenarioKey,CategorieChargeKey,montant
2,3,1,6430256.0
2,3,2,594981.0
2,3,3,410012.0
2,3,4,724781.0
2,3,5,49311.0
2,3,6,1223935.0
2,3,7,290098.0
2,3,8,47280.0
2,3,9,14822.0
2,3,10,138958.0
2,3,11,162008.0
2,3,12,284934.0
2,3,13,1021885.0
2,3,14,55872.0
2,3,15,5144.0
2,3,16,6328652.0
2,3,17,666611.0
2,3,18,16550643.0
2,3,19,28928950.0
2,3,20,394743.0
2,3,21,224933.0
2,3,22,3346298.0
2,3,23,35495.0
2,3,24,2419525.0
2,3,25,194977560.0
2,3,26,890826.0
2,3,27,6611379.0
2,3,28,1823398.0
2,3,29,12900511.0
2,3,30,3486576790.0
2,3,31,11126156.0
3,2,1,17468936.0
3,2,2,5830107.0
3,2,3,1250500.0
3,2,4,3917500.0
3,2,5,132078.0
3,2,6,5902587.0
3,2,7,2228750.0
3,2,8,112098.0
3,2,9,102451.0
3,2,10,406384.0
3,2,11,357458.0
3,2,12,635500.0
3,2,13,2030650.0
3,2,14,222475.0
3,2,15,15515.0
3,2,16,10554241.0
3,2,17,1332446.0
3,2,18,32609725.0
3,2,19,73191934.0
3,2,20,950000.0
3,2,21,382060.0
3,2,22,6876643.0
3,2,23,74608.0
3,2,24,5654932.0
3,2,25,549976.0
3,2,26,1516667.0
3,2,27,14188639.0
3,2,28,3300000.0
3,2,29,26795451.0
3,2,30,8346951.0
3,2,31,30896637.0
3,4,1,4822692.0
3,4,2,446236.0
3,4,3,307509.0
3,4,4,543586.0
3,4,5,36983.0
3,4,6,917952.0
3,4,7,217574.0
3,4,8,35460.0
3,4,9,11116.0
3,4,10,104219.0
3,4,11,121506.0
3,4,12,213701.0
3,4,13,766414.0
3,4,14,41904.0
3,4,15,3858.0
3,4,16,3994329.0
3,4,17,499958.0
3,4,18,12412982.0
3,4,19,916872.0
3,4,20,296057.0
3,4,21,168700.0
3,4,22,2509724.0
3,4,23,26621.0
3,4,24,1798629.0
3,4,25,145819.0
3,4,26,560000.0
3,4,27,4856875.0
3,4,28,1424074.0
3,4,29,8863634.0
3,4,30,2128529.0
3,4,31,9677759.0
4,2,17,682443.0
4,2,18,16610000.0
4,2,19,9191934.0
4,2,20,500000.0
4,2,21,230275.0
4,2,22,3523652.0
4,2,23,40000.0
4,2,24,3077654.0
4,2,25,190000.0
4,2,26,821333.0
4,2,27,8101639.0
4,2,28,1300000.0
4,2,29,14100000.0
4,2,30,4200000.0
4,2,31,18302627.0
